pid,label,label_en,label_es,section,genre,claimed_genre_en,claimed_genre_es,link,access,status,language,creators,stewards,blurb,blurb_en,blurb_es,related_to,sub_collections,open_data,added_by,twitter,census_year,notes,order,layout,collection,thumbnail,full
cds1,archipelagos journal,,Diario de archipiélagos,Periodicals & Blogs,Journals,an academic journal,una revista académica,http://archipelagosjournal.org/,open,Active,"en,fr,es","Kaiama Glover, Alex Gil",Columbia University Library,"<em>archipelagos</em> is a born-digital, peer-reviewed publication devoted to creative exploration, debate, and critical thinking about and through digital practices in contemporary scholarly and artistic work in and on the Caribbean. Given the wide implications of the “digital turn” for our very conceptions of knowledge, our mission is to discern the ways in which the digital may enhance and transform our comprehension of the regional and diasporic Caribbean. archipelagos responds to this challenge with three distinct dimensions of critical production: scholarly essays; digital scholarship projects; and digital project reviews.",,"<em>archipelagos</em> es una publicación nacida en linea y revisada por pares dedicada a la exploración, debate y pensamiento crítico creativo sobre y a través de prácticas digitales en el trabajo académico y artístico contemporáneo en el Caribe. Dadas las amplias implicaciones del &quot;giro digital&quot; para nuestras mismas concepciones del conocimiento, nuestra misión es discernir las formas en que lo digital puede mejorar y transformar nuestra comprensión del Caribe regional y diásporo. <em>archipelagos</em> responde a este desafío con tres dimensiones distintas de la producción crítica: ensayos académicos; proyectos digitales; y reseñas de proyectos digitales.",,,,Alex Gil,@elotroalex,2020,,000,caridischo_item,main,/img/derivatives/simple/cds1/thumbnail.jpg,/img/derivatives/simple/cds1/fullwidth.jpg
cds10,.break .dance: a choreo-essay,,.baile .paso: Un coreo-ensayo,Cabinet of Wonders,Sui Generis,a choreo-essay,un coreo-ensayo,http://smallaxe.net/sxarchipelagos/issue03/parham/parham.html,open,Active,en,Marisa Parham,,".break .dance is a time-based web experience [...]. In thinking through and against the machineries of commercial interface efficacy, this pocket intentionally shows its material and discursive seams. Rooted in a sense of anarchival play, it is designed for multiple engagements, changes over time, and assumes no one will take the same path through.",,".baile .paso es una experiencia web basada en el tiempo [...]. Al pensar y contra las maquinarias de eficacia de la interfaz comercial, este bolsillo muestra intencionalmente sus costuras materiales y discursivas. Enraizado en un sentido de juego anarchivístico, está diseñado para múltiples compromisos, cambios con el tiempo y asume que nadie tomará el mismo camino.",,,,Schuyler Esprit,@schuyleresprit,2020,,001,caridischo_item,main,/img/derivatives/simple/cds10/thumbnail.jpg,/img/derivatives/simple/cds10/fullwidth.jpg
cds100,Le marronnage dans le monde atlantique: Sources et trajectoires de vie,Marronage in the Atlantic World: Sources and Life Trajectories,Cimarronaje en el mundo Atlántico: Fuentes y trayectorias de vida,Collections & Curations,Thematic Curations,a corpus,un corpus,http://www.marronnage.info/fr/index.html,open,Stable,fr,Jean-Pierre Le Glaunec Léon Robichaud,Université de Sherbrooke Groupe d'Histoire de l'Atlantique Français Fonds de Recherche Société et Culture Québec Conseil de Recherche en Sciences Humaines du Canada ,"Initiative portée par le Groupe d'histoire de l'Atlantique Français (FRQSC) en collaboration avec le projet « SHADD Biography Project: Testimonies of West Africans from the Era of the Slave Trade » (CRSH) , « Le marronnage dans le monde atlantique » vise à décloisonner les archives de l'esclavage. En ligne depuis 2009, cette plateforme permet d’interroger un corpus inédit et évolutif composé de plus de 20 000 documents portant sur l’une des principales formes de résistance à l’esclavage.","Initiative led by the French Atlantic History Group (FRQSC) in collaboration with the project ""SHADD Biography Project: Testimonies of West Africans from the Era of the Slave Trade"" (CRSH), ""Le marronnage dans le monde atlantique"" aims to decompartmentalize the archives of slavery. Online since 2009, this platform makes it possible to interrogate an unprecedented and evolving corpus made up of more than 20,000 documents relating to one of the main forms of resistance to slavery.","La iniciativa liderada por el French Atlantic History Group (FRQSC) en colaboración con el proyecto ""Proyecto de biografía SHADD: Testimonios de africanos occidentales de la era de la trata de esclavos"" (CRSH), ""Le marronnage dans le monde atlantique"" (El cimarronaje en el mundo Atlantico) tiene como objetivo reunir los archivos de la esclavitud. En línea desde 2009, esta plataforma permite interrogar a un corpus inédito y en evolución compuesto por más de 20,000 documentos relacionados con una de las principales formas de resistencia a la esclavitud.",,,,,,2020,,002,caridischo_item,main,"",""
cds101,La Médi@thèque Numérique de Guadeloupe,The Digital Media Library of Guadeloupe,La Mediateca digital de Guadalupe,Collections & Curations,Digital Libraries,une médiathèque,una mediateca,https://guadeloupe.mediatheques.fr/,open,Stable,fr,La Médiathèque Caraïbe (LAMECA),La Médiathèque Caraïbe (LAMECA),"La Médi@thèque Numérique de Guadeloupe is part of the Caribbean Media Library (LAMECA) project proposed by the General Council of Guadeloupe in order to federate documentary resources relating to the countries of the Caribbean basin by creating documentary tools making it possible to identify, locate or even exchange documents.","La Digital Media Library of Guadeloupe is part of the Caribbean Media Library (LAMECA) project proposed by the General Council of Guadeloupe in order to federate documentary resources relating to the countries of the Caribbean basin by creating documentary tools making it possible to identify, locate or even exchange documents.","La Mediateca digital de Guadalupe forma parte del proyecto del Caribe Media Library (LAMECA) propuesto por el Consejo General de Guadalupe para federar los recursos documentales relacionados con los países de la Cuenca del Caribe mediante la creación de herramientas documentales que hacen posible identificar, localizar o incluso intercambiar documentos.",,,,,,2020,,003,caridischo_item,main,"",""
cds102,National Library of Jamaica Digital,,Biblioteca nacional de Jamaica digital,Collections & Curations,Digital Libraries,a digital library,una biblioteca digital,https://nlj.gov.jm/digital-collections/,open,Active,en,,National Library of Jamaica,"To enhance access to its rich and varied collections, the National NLJ has digitized thousands of historical photographs, prints, drawings, pamphlets, programmes, manuscripts, books, rare maps and other rare and unique materials.",,"Para mejorar el acceso a sus colecciones ricas y variadas, la Biblioteca Nacional de Jamaica ha digitalizado miles de fotografías históricas, impresiones, dibujos, folletos, programas, manuscritos, libros, mapas raros y otros materiales raros y únicos.",,https://nlj.gov.jm/digital-collections/,,Roopika Risam,@roopikarisam,2020,Lots of subcollections. I have thoughts about managing subcollections,004,caridischo_item,main,"",""
cds103,New Netherlands Online Publications,,Publicaciones en línea de los Paises Bajos,Collections & Curations,Thematic Curations,online publications,publicaciones en línea,https://www.newnetherlandinstitute.org/research/online-publications/,open,Active,"en,nl",,New Netherland Institute,"The New Netherland Institute is making available digitized versions of translations and transcriptions of documents relating to New Netherland. Written in an archaic hand, these seventeenth-century documents were damaged by fire and water, but they are our best source of knowledge about the former Dutch colony. Available on this website are government records held by the New York State Archives, private and corporate papers from the collections of the New York State Library, and selected documents from other repositories. Scanned originals of many of these documents are available on the websites of the New York State Archives and New York State Library.",,"El New Netherland Institute (Instituto de Nuevos Paises Bajos) está poniendo a disposición versiones digitalizadas de traducciones y transcripciones de documentos relacionados con Nuevos Paises Bajos. Escrito en una mano arcaica, estos documentos del siglo XVII fueron dañados por el fuego y el agua, pero son nuestra mejor fuente de conocimiento sobre la antigua colonia holandesa. Disponibles en este sitio web se encuentran registros gubernamentales en manos de los registros estatales de Nueva York, documentos privados y corporativos de las colecciones de la Biblioteca del Estado de Nueva York y documentos seleccionados de otros repositorios. Los originales escaneados de muchos de estos documentos están disponibles en los sitios web de los Archivos del Estado de Nueva York y la Biblioteca del Estado de Nueva York.",,,,,,2020,,005,caridischo_item,main,"",""
cds104,Facing Climates of Inequality after Dorian,,De cara a los climas de desigualdad después de Dorian,Collections & Curations,Thematic Curations,an exhibit,una exposición,https://sites.google.com/view/digital-humanities-ub-north/climates-of-inequality-grand-bahama,open,Defunct,en,"Ian Strachan, et al.","Climates of Inequality, Digital Humanities @ UB-North, University of Bahamas North","This exhibit presents stories of climate and environmental justice that emerge from local, community-based research projects by students in collaboration with local NGOs",,"Esta exhibición presenta historias de clima y justicia ambiental que surgen de proyectos de investigación locales, basados ​​en la comunidad por parte de los estudiantes en colaboración con las ONG locales",,,,Roopika Risam,@roopikarisam,2020,,006,caridischo_item,main,/img/derivatives/simple/cds104/thumbnail.jpg,/img/derivatives/simple/cds104/fullwidth.jpg
cds105,Puerto Rico Syllabus,,Programa de estudios de Puerto Rico,Reference,Syllabi,a syllabus,un plan de estudios,https://puertoricosyllabus.com,open,Active,"en,es",Yarimar Bonilla,,"The materials gathered help place the current moment within the larger political, social, and economic history of this U.S. territory and illuminate how both the crisis and its proposed solutions are impacting the daily lives of millions of Puerto Ricans both within the territory and across its growing diaspora.",,"Los materiales recopilados en este programa de estudios colectivo ayudan a colocar al momento actual dentro de la historia política, social y económica más amplia de este territorio de los EE.UU., e iluminar cómo tanto la crisis como sus soluciones propuestas están afectando la vida cotidiana de millones de puertorriqueños dentro del territorio y en su creciente diáspora.",,,,Kaiama L. Glover,@inthewhirld,2020,,007,caridischo_item,main,/img/derivatives/simple/cds105/thumbnail.jpg,/img/derivatives/simple/cds105/fullwidth.jpg
cds106,"Migration, Mobility, Sustainability: NEH Institute for Advanced Topics in the Digital Humanities",,"Migración, movilidad, sostenibilidad: Instituto de temas avanzados en Humanidades Digitales del Fondo Nacional para las Humanidades (E.E.U.U.)",Cabinet of Wonders,Sui Generis,an institute,un instituto,http://nehcaribbean.domains.uflib.ufl.edu/,private,In Development,en,"<a href=""http://nehcaribbean.domains.uflib.ufl.edu/contributors/"" target=""_blank"">Contributors</a>",University of Florida; Digital Library of the Caribbean,"Funded by the National Endowment for the Humanities, this institute was designed to give participants experience incorporating tools and openly accessible collections for developing a community of practice around digital pedagogy and teaching. Participants convened through in-person and virtual sessions over the course of 2019-2020. This web publication highlights their work and encourages further sharing and collaboration.",,"Financiado por la Fondo Nacional para las Humanidades (E.E.U.U.), este Instituto fue diseñado para dar a los participantes la experiencia de incorporación de herramientas y las colecciones abiertamente accesibles para desarrollar una comunidad de práctica en torno a la pedagogía digital y la enseñanza. Los participantes se reunieron a través de sesiones en persona y virtuales a lo largo del 2019-2020. Esta publicación web destaca su trabajo y fomenta aún más el intercambio y la colaboración.",,,,Perry Collins,@perrycollins,2020,,008,caridischo_item,main,/img/derivatives/simple/cds106/thumbnail.jpg,/img/derivatives/simple/cds106/fullwidth.jpg
cds107,Islands in the North,,Islas en el norte,Maps & Visualizations,Mixed Genres,"a map, a timeline and a database","un mapa, una línea de tiempo y una base de datos",http://about.islandsinthenorth.com/,open,Active,en,Marlene Gaynair,Rutgers Digital Humanities Initiatives,"This digital project (re)creates the space and place of Black Canadian/West Indian immigrants in twentieth century Toronto, Canada.",,"Este proyecto digital (re)crea el espacio y el lugar de los inmigrantes de negros Canadienses y caribeños anglófonos en Toronto, Canadá en el siglo XX.",,,,Roopika Risam,@roopikarisam,2020,,009,caridischo_item,main,/img/derivatives/simple/cds107/thumbnail.jpg,/img/derivatives/simple/cds107/fullwidth.jpg
