pid,label,label_en,label_es,genre,claimed_genre_en,claimed_genre_es,link,access,status,language,creators,stewards,blurb_orig,blurb_en,blurb_es,related_to,sub_collections,open_data,added_by,twitter,census_year,notes,order,layout,collection,thumbnail,full
col2000,...... et les chiens se taisaient,..... And the Dogs Were Silent,...... y los perros callaban,Scholarly Editions,a scholarly edition,una edición académica,http://cesaire.elotroalex.com/chiens/,open,Stable,"en,fr",Alex Gil,,"During the height of the fascist Vichy regime in Martinique, Aimé Césaire was secretly at work on a forceful historical drama with the title &quot; ...... Et les chiens se taisaient&quot; —&quot; ...... and the Dogs Were Silent.&quot;  The plot of the drama follows the events of the Haitian Revolution and the tragic destiny of its leader, Toussaint L’Ouverture, determined to die betrayed in a frozen cell in the Jura mountains rather than compromise his truth.","During the height of the fascist Vichy regime in Martinique, Aimé Césaire was secretly at work on a forceful historical drama with the title &quot; ...... Et les chiens se taisaient&quot; —&quot; ...... and the Dogs Were Silent.&quot;  The plot of the drama follows the events of the Haitian Revolution and the tragic destiny of its leader, Toussaint L’Ouverture, determined to die betrayed in a frozen cell in the Jura mountains rather than compromise his truth.","Durante la altura del régimen fascista de Vichy en Martinica, Aimé Césaire escribió en secreto un impactante drama histórico con el título &quot;...... et les chiens se taisaient&quot; (&quot; ...... y los perros callaban.&quot;) La trama del drama sigue los eventos de la revolución haitiana y el trágico destino de su líder, Toussaint l'Ouverture, decidido a morir traicionado en una celda helada en las montañas de Jura en Francia en lugar de comprometer su verdad.",,,,Alex Gil,@elotroalex,2020,,000,caridischo_item,curations,/img/derivatives/simple/col2000/thumbnail.jpg,/img/derivatives/simple/col2000/fullwidth.jpg
col2001,Alma Jordan Library Digital Collections,,Biblioteca Alma Jordan: Colecciones digitales,Digital Libraries,digital collections,colecciones digitales,https://uwispace.sta.uwi.edu/dspace/handle/2139/10,open,Active,en,,UWI - St. Augustine,This archive was established by the UWI Libraries to support the dissemination of knowledge by providing open access to the digitally preserved intellectual output of the University. Here we aim to collect together in one place the research and scholarship of members of the UWI community.,This archive was established by the UWI Libraries to support the dissemination of knowledge by providing open access to the digitally preserved intellectual output of the University. Here we aim to collect together in one place the research and scholarship of members of the UWI community.,Este archivo fue establecido por las bibliotecas de la Universidad de West Indies para apoyar la difusión de conocimientos al proporcionar acceso abierto a la producción intelectual de la universidad a traves de la conservación digital. Aquí apuntamos a recoger juntos en un solo lugar la investigación y los trabajos de los miembros de la comunidad de UWI.,,,,Roopika Risam,@roopikarisam,2020,Herein lie subcollections,001,caridischo_item,curations,/img/derivatives/simple/col2001/thumbnail.jpg,/img/derivatives/simple/col2001/fullwidth.jpg
col2002,Biblioteca de Literatura Afrocolombiana,Library of Afro-Colombian Literature,,Thematic Curations,a digital collection,una colección digital,http://babel.banrepcultural.org/digital/collection/p17054coll7,open,Stable,es,,"Ministry of Culture, Colombia","La Biblioteca de Literatura Afrocolombiana contiene 18 títulos y un ensayo escritos por autores Afrocolombianos/as destacados en los últimos 200 años; entre ellos están las importantes obras de autores como: Manuel Zapata Olivella, Oscar Collazos, Helcías Martán Góngora, Arnoldo Palacios, Rogerio Velásquez, Candelario Obeso, entre otros. La relectura y re-significación de la literatura nacional, pasa por la visibilización y el reconocimiento de los aportes que los autores Afrocolombianos/as han realizado, a través de los importantes procesos de resistencia cultural que bajo el proyecto de libertad ejercido en épocas coloniales y contemporáneas se configuran en la consistencia y la valiosa capacidad creativa que en todas las áreas del arte poseen los descendientes de las diversas culturas africanas llegadas a Colombia.","The Afro-Colombian Literature Library contains 18 titles and an essay written by prominent Afro-Colombian authors in the last 200 years; among them are the important works of authors such as: Manuel Zapata Olivella, Oscar Collazos, Helcías Martán Góngora, Arnoldo Palacios, Rogerio Velásquez, Candelario Obeso, among others.","La Biblioteca de Literatura Afrocolombiana contiene 18 títulos y un ensayo escritos por autores Afrocolombianos/as destacados en los últimos 200 años; entre ellos están las importantes obras de autores como: Manuel Zapata Olivella, Oscar Collazos, Helcías Martán Góngora, Arnoldo Palacios, Rogerio Velásquez, Candelario Obeso, entre otros. La relectura y re-significación de la literatura nacional, pasa por la visibilización y el reconocimiento de los aportes que los autores Afrocolombianos/as han realizado, a través de los importantes procesos de resistencia cultural que bajo el proyecto de libertad ejercido en épocas coloniales y contemporáneas se configuran en la consistencia y la valiosa capacidad creativa que en todas las áreas del arte poseen los descendientes de las diversas culturas africanas llegadas a Colombia.",,,,,,2020,,002,caridischo_item,curations,/img/derivatives/simple/col2002/thumbnail.jpg,/img/derivatives/simple/col2002/fullwidth.jpg
col2003,Antologías del Pensamiento Social Latinoamericano y Caribeño ,Anthology of Latin-American and Caribbean Social Thought,,Thematic Curations,an anthology,una antología,https://www.clacso.org.ar/antologias/index.php,open,Stable,es,,,"La colección ""Antologías del Pensamiento Social Latinoamericano y Caribeño"" es un emprendimiento editorial de CLACSO destinado a promover el acceso a la obra de algunos de los más destacados autores de las ciencias sociales de América Latina y el Caribe.","The collection ""Anthologies of Latin American and Caribbean Social Thought"" is a CLACSO publishing undertaking aimed at promoting access to the work of some of the most prominent authors of the social sciences in Latin America and the Caribbean.","La colección ""Antologías del Pensamiento Social Latinoamericano y Caribeño"" es un emprendimiento editorial de CLACSO destinado a promover el acceso a la obra de algunos de los más destacados autores de las ciencias sociales de América Latina y el Caribe.",,,,,,2020,,003,caridischo_item,curations,/img/derivatives/simple/col2003/thumbnail.jpg,/img/derivatives/simple/col2003/fullwidth.jpg
col2004,Archives Nationales d'Outre Mer: Archives Numérisées,National Archives of Overseas Territories: Digital Archives,Archivos nacionales de Ultramar: Archivos digitalizados,Digital Libraries,digitized archives,archivos digitales,http://anom.archivesnationales.culture.gouv.fr/ir?classification=archives_numerisees,open,Stable,fr,,,"Service à compétence nationale installé à Aix-en-Provence depuis 1966, les Archives nationales d’outre-mer (ANOM) ont pour mission la conservation, la communication et la collecte des archives de l’expansion coloniale française. Héritières de trois siècles d’histoire, elles conservent deux grands ensembles au passé administratif et archivistique différent : d’une part les archives des ministères qui furent chargés du XVIIe au XXe siècle de l’empire colonial français, d’autre part les archives transférées des anciennes colonies et de l’Algérie lors de leur indépendance.","A national service located in Aix-en-Provence since 1966, the National Archives of Overseas (ANOM) is responsible for the conservation, communication and collection of archives of the French colonial expansion. Heir to three centuries of history, they keep two large groups with different administrative and archival pasts: on the one hand the archives of the ministries who were in charge of the French colonial empire from the 17th to the 20th century, and, on the other hand the relocated archives of the former colonies and of Algeria during their independence.","Un servicio nacional ubicado en Aix-en-Provence desde 1966, el Archivo Nacional de Ultramar (ANOM) es responsable de la conservación, comunicación y colección de archivos de la expansión colonial francesa. Herederos de tres siglos de historia, mantienen dos grandes colecciones con diferentes pasados ​​administrativos y archivísticos: por un lado los archivos de los ministerios que estuvieron a cargo del imperio colonial francés desde el siglo XVII al XX, y por otro los archivos reubicados de las antiguas colonias y de Argelia durante su independencia.",,,,,,2020,,004,caridischo_item,curations,/img/derivatives/simple/col2004/thumbnail.jpg,/img/derivatives/simple/col2004/fullwidth.jpg
col2005,Alternative Considerations of Jonestown and Peoples Temple,,Consideraciones alternativas de Jonestown y el Templo del Pueblo,Thematic Curations,a digital humanities project; annotated documents,un proyecto de humanidades digitales; documentos anotados,https://jonestown.sdsu.edu/?page_id=70587,open,Active,en,"Fielding M. McGehee, Rebecca Moore",San Diego State University,This website is designed to give personal and scholarly perspectives on a major event in the history of religion in America.,This website is designed to give personal and scholarly perspectives on a major event in the history of religion in America.,Este sitio web está diseñado para brindar perspectivas personales y académicas sobre este importante evento en la historia de la religión en América.,,,,Roopika Risam,@roopikarisam,2020,,005,caridischo_item,curations,/img/derivatives/simple/col2005/thumbnail.jpg,/img/derivatives/simple/col2005/fullwidth.jpg
col2006,A Colony in Crisis,,Una colonia en crisis,Thematic Curations,a curation and translations,una curación y traducciones,https://colonyincrisis.lib.umd.edu,open,Active,"en,ht","Abby R. Broughton, Kelsey Corlett-Rivera, Nathan H. Dize, Brittany de Gail",Vanderbilt University,The website is designed to provide online access to both the French originals and the English translations of key primary sources dealing with the grain shortage faced by the colony of Saint-Domingue in 1789,The website is designed to provide online access to both the French originals and the English translations of key primary sources dealing with the grain shortage faced by the colony of Saint-Domingue in 1789,Este sitio web está diseñado para proporcionar acceso en línea a los originales franceses y las traducciones al inglés de las fuentes principales que tratan la escasez de grano que enfrentó la colonia de Saint-Domingue en 1789.,,,,Kaiama L. Glover,@inthewhirld,2020,,006,caridischo_item,curations,/img/derivatives/simple/col2006/thumbnail.jpg,/img/derivatives/simple/col2006/fullwidth.jpg
col2007,Branding the Cuban Revolution,,Marcando la Revolución Cubana,Thematic Curations,,,https://brandingrevolution.omeka.net/exhibits/show/branding-the-cuban-revolution,open,In Disrepair,en,"Steve Hyland, Jr.",,Reflections on the political messaging of the revolution to Cubans.,Reflections on the political messaging of the revolution to Cubans.,Reflexiones sobre la mensajería política de la revolución a los cubanos.,,,,Roopika Risam,@roopikarisam,2020,,007,caridischo_item,curations,/img/derivatives/simple/col2007/thumbnail.jpg,/img/derivatives/simple/col2007/fullwidth.jpg
col2008,Banque Numérique des Patrimoines Martiniquais,Digital Repository of Martinique's Patrimony,Repositorio digital del patrimonio martiniqués,Digital Libraries,a digital repository,un repositorio digital,https://www.patrimoines-martinique.org/,open,Active,fr,,,"Initiated by the former General Council of Martinique, the Banque Numérique des Patrimoines Martiniquais is an access portal to documentary resources on the cultural and historical heritage of Martinique backed by the geographic information system of Martinique (SIGMA).","Initiated by the former General Council of Martinique, the Banque Numérique des Patrimoines Martiniquais is an access portal to documentary resources on the cultural and historical heritage of Martinique backed by the geographic information system of Martinique (SIGMA).","Iniciado por el ex Consejo General de Martinica, el Banque Numérique des Patrimoines Martiniquais es un portal de acceso a los recursos documentales sobre el patrimonio cultural e histórico de Martinica respaldados por el Sistema de Información Geográfica de Martinica (SIGMA).",,,,,,2020,,008,caridischo_item,curations,/img/derivatives/simple/col2008/thumbnail.jpg,/img/derivatives/simple/col2008/fullwidth.jpg
col2009,Biblioteca Nacional Aruba: Coleccion Digital,,Biblioteca Nacional de Aruba: Colección digital,Digital Libraries,unaa colección digital,a digital collection,https://archive.org/details/bibliotecanacionalaruba&sort=date,open,Archived,es,Biblioteca Nacional Aruba,Internet Archive,Digital Collection of the Aruba National Library.,Digital Collection of the Aruba National Library.,Colección digital de la Biblioteca Nacional de Aruba.,,,,Alex Gil,@elotroalex,2020,,009,caridischo_item,curations,/img/derivatives/simple/col2009/thumbnail.jpg,/img/derivatives/simple/col2009/fullwidth.jpg
