"pid","label","label_en","label_es","section","genre","claimed_genre_en","claimed_genre_es","link","access","status","language","creators","stewards","blurb_orig","blurb_en","blurb_es","related_to","open_data","added_by","twitter","census_year","notes","order","layout","collection","thumbnail","full"
"viz2000","19th Century Caribbean Cholera Timemap","","Cronograma del colera en el Caribe del siglo XIX","Maps & Visualizations","Timelines","a timemap","un mapa de tiempo","http://caribbeancholera.org/cholera_timemap11.html#zoom=5&center=20.13847031245115,-74.3994140625&date=1853-05-01","open","In Disrepair","en","Deborah Jenson, et al.","John Hope Franklin Humanities Institute, Duke University","This timemap locates the main cholera outbreaks in the Caribbean in the 19th century, citing the journalistic sources at the time of each outbreak.","This timemap locates the main cholera outbreaks in the Caribbean in the 19th century, citing the journalistic sources at the time of each outbreak.","Este cronograma localiza los brotes de cólera principales en el Caribe durante el siglo XIX, citando las fuentes periodísticas en el momento de cada brote.","","","Roopika Risam","@roopikarisam","2020","","0","caridischo_item","visualizations","/img/derivatives/simple/viz2000/thumbnail.jpg","/img/derivatives/simple/viz2000/fullwidth.jpg"
"viz2001","Digital Map of the Afro-Cuban Web","","Mapa digital de la web afrocubana","Maps & Visualizations","Maps","a digital map","un mapa digital","https://hcommons.org/deposits/item/hc:28035/","open","Stable","en","Maya Anderson-González","Humanities Commons","Gephi visualization of a network of hyperlinks between websites related to Afro-Cuba containing 1486 nodes and 1703 edges, with size indicating degree","Gephi visualization of a network of hyperlinks between websites related to Afro-Cuba containing 1486 nodes and 1703 edges, with size indicating degree","Visualización de Gephi de una red de hipervínculos entre sitios web relacionados con Afro-Cuba. La gráfica contiene 1486 nodos y 1703 bordes, los grados indicados por la taya.","","","Roopika Risam","@roopikarisam","2020","","1","caridischo_item","visualizations","/img/derivatives/simple/viz2001/thumbnail.jpg","/img/derivatives/simple/viz2001/fullwidth.jpg"
"viz2002","In the Same Boats","","En los mismos barcos","Maps & Visualizations","Maps","maps","mapas","https://sameboats.org/","open","In Development","en","Kaiama Glover, Alex Gil","","In the Same Boats is a work of multimodal scholarship designed to encourage the collaborative production of humanistic knowledge within scholarly communities. The platform comprises two interactive visualizations that trace the movements of significant cultural actors from the Caribbean and wider Americas, Africa, and Europe within the 20th century Afro-Atlantic world. It presents opportunities for unearthing the extent to which Caribbean, Latin American, African, European, and Afro-American intellectuals have been in both punctual and sustained conversation with one another: attending the same conferences, publishing in the same journals and presses, active in the same political groups, perhaps even elbow-to-elbow in the same Parisian cafés and on the same transatlantic crossings––literally and metaphorically in the same boats––as they circulate throughout the Americas, Africa, Europe, and beyond.","In the Same Boats is a work of multimodal scholarship designed to encourage the collaborative production of humanistic knowledge within scholarly communities. The platform comprises two interactive visualizations that trace the movements of significant cultural actors from the Caribbean and wider Americas, Africa, and Europe within the 20th century Afro-Atlantic world. It presents opportunities for unearthing the extent to which Caribbean, Latin American, African, European, and Afro-American intellectuals have been in both punctual and sustained conversation with one another: attending the same conferences, publishing in the same journals and presses, active in the same political groups, perhaps even elbow-to-elbow in the same Parisian cafés and on the same transatlantic crossings––literally and metaphorically in the same boats––as they circulate throughout the Americas, Africa, Europe, and beyond.","Un trabajo de investigación multimodal diseñado con el propósito de fomentar la producción colaborativa del conocimiento humanistíco. La plataforma comprende dos visualizaciones interactivas que rastrean los movimientos de importantes actores culturales del Caribe, las Américas, África y Europa dentro del mundo afroatántico del siglo XX. Presenta oportunidades para desenterrar la medida en que los intelectuales caribeños, latinoamericanos, africanos, europeos y afro-americanos han estado en conversaciones puntuales y sostenidas entre sí: asistiendo a las mismas conferencias, publicando en las mismas revistas y prensas, activa en los mismos grupos políticos, tal vez incluso codo a codo en los mismos cafés parisinos y en los mismos buques transatlánticos, literal y metafóricamente en los mismos barcos, en circulación en las Américas, África, Europa y más allá.","","","Alex Gil","@elotroalex","2020","","2","caridischo_item","visualizations","/img/derivatives/simple/viz2002/thumbnail.jpg","/img/derivatives/simple/viz2002/fullwidth.jpg"
"viz2003","Indian Indenture","","Trabajo no abonado hindú","Maps & Visualizations","Maps","a map","un mapa","https://indianindenture.wordpress.com/","open","In Disrepair","en","Dhanashree Thorat","","Between 1845 and 1917, about 143,900 indentured Indian labourers were sent to Trinidad. This project maps, spatially and chronologically, the migration of Indian indentured workers to Trinidad, one of the colonies to which a large number of indentured workers were sent.","Between 1845 and 1917, about 143,900 indentured Indian labourers were sent to Trinidad. This project maps, spatially and chronologically, the migration of Indian indentured workers to Trinidad, one of the colonies to which a large number of indentured workers were sent.","Entre 1845 y 1917, se enviaron alrededor de 143,900 trabajadores hindúes no abonados a Trinidad. Este proyecto rastrea en el tiempo y espacio la migración de trabajadores con contrato sin paga de la India a Trinidad, una de las colonias a las que se enviaron un gran número de trabajadores así contratados.","","","Roopika Risam","@roopikarisam","2020","","3","caridischo_item","visualizations","/img/derivatives/simple/viz2003/thumbnail.jpg","/img/derivatives/simple/viz2003/fullwidth.jpg"
"viz2004","Mapping Marronage","","Cartografía del cimarronaje","Maps & Visualizations","Maps","maps","mapas","http://mapping-marronage.rll.lsa.umich.edu/","open","Active","en","Annette Joseph-Gabriel","University of Michigan","Mapping Marronage is an interactive visualization of the trans-Atlantic networks of intellectual, creative and political exchange created by enslaved people in the 18th and 19th century. It traces the geographic reach, crossings and intersections of letters, testimonies and financial exchanges by enslaved people of African-descent.","Mapping Marronage is an interactive visualization of the trans-Atlantic networks of intellectual, creative and political exchange created by enslaved people in the 18th and 19th century. It traces the geographic reach, crossings and intersections of letters, testimonies and financial exchanges by enslaved people of African-descent.","Una visualización interactiva de las redes transatlánticas de intercambio intelectual, creativo y político creado por personas esclavizadas en el siglo XVIII y XIX. Traza el alcance geográfico, los cruces e intersecciones de cartas, testimonios e intercambios financieros por personas esclavizadas de ascendencia africana.","","","Roopika Risam","@roopikarisam","2020","","4","caridischo_item","visualizations","/img/derivatives/simple/viz2004/thumbnail.jpg","/img/derivatives/simple/viz2004/fullwidth.jpg"
"viz2005","Islands in the North","","Islas en el norte","Maps & Visualizations","Mixed Genres","a map, a timeline and a database","un mapa, un cronograma y una base de datos","http://about.islandsinthenorth.com/","open","Active","en","Marlene Gaynair","Rutgers Digital Humanities Initiatives","This digital project (re)creates the space and place of Black Canadian/West Indian immigrants in twentieth century Toronto, Canada.","This digital project (re)creates the space and place of Black Canadian/West Indian immigrants in twentieth century Toronto, Canada.","Este proyecto digital (re)crea el espacio y el lugar de los inmigrantes negros Canadienses y caribeños anglófonos en Toronto, Canadá, en el siglo XX.","","","Roopika Risam","@roopikarisam","2020","","5","caridischo_item","visualizations","/img/derivatives/simple/viz2005/thumbnail.jpg","/img/derivatives/simple/viz2005/fullwidth.jpg"
"viz2006","Mapping Slavery","","Cartografía de la esclavitud","Maps & Visualizations","Maps","maps","mapas","https://mappingslavery.nl/","open","Stable","nl","","","&quot;Mapping Slavery NL&quot; portrays historical places relating to slavery on the map of the Dutch colonial empire.","&quot;Mapping Slavery NL&quot; portrays historical places relating to slavery on the map of the Dutch colonial empire.","Este trabajo cartográfico retrata los lugares históricos relacionados con la esclavitud en el mapa del imperio colonial holandés.","","","","","2020","","6","caridischo_item","visualizations","/img/derivatives/simple/viz2006/thumbnail.jpg","/img/derivatives/simple/viz2006/fullwidth.jpg"
"viz2007","Mapping the Haitian Revolution","","Cartografía de la revolución haitiana","Maps & Visualizations","Maps","an interactive map and timeline","un mapa interactivo y una línea de tiempo","https://www.mappinghaitianrevolution.com/","open","Active","en","Stephanie Curci, Christopher Jones, Axis Maps","Stephanie Curci, Christopher Jones","A map and timeline of the Haitian Revolution, with additional educational resources designed for high school students.","A map and timeline of the Haitian Revolution, with additional educational resources designed for high school students.","Un mapa y cronograma de la revolución haitiana, con recursos educativos adicionales diseñados para estudiantes de secundaria.","cur2072","","Stephanie Curci","@stephcurci","2020","","7","caridischo_item","visualizations","/img/derivatives/simple/viz2007/thumbnail.jpg","/img/derivatives/simple/viz2007/fullwidth.jpg"
"viz2008","Slave Revolt in Jamaica","","Revuelta de esclavos en Jamaica","Maps & Visualizations","Maps","maps","mapas","http://revolt.axismaps.com","open","Active","en","Vincent Brown","","This animated thematic map narrates the spatial history of the greatest slave insurrection in the eighteenth century British Empire. To teachers and researchers, the presentation offers a carefully curated archive of key documentary evidence. To all viewers, the map suggests an argument about the strategies of the rebels and the tactics of counterinsurgency, about the importance of the landscape to the course of the uprising, and about the difficulty of representing such events cartographically with available sources.","This animated thematic map narrates the spatial history of the greatest slave insurrection in the eighteenth century British Empire. To teachers and researchers, the presentation offers a carefully curated archive of key documentary evidence. To all viewers, the map suggests an argument about the strategies of the rebels and the tactics of counterinsurgency, about the importance of the landscape to the course of the uprising, and about the difficulty of representing such events cartographically with available sources.","Este mapa temático y animado narra la historia espacial de la mayor insurrección de esclavos en el Imperio Británico del siglo XVIII. Para los maestros e investigadores, la presentación ofrece un archivo cuidadosamente curado de la evidencia documental relevante. Para el público en general, el mapa propone un argumento sobre las estrategias de los rebeldes y las tácticas de la contrainsurgencia, sobre la importancia del paisaje en el transcurso del levantamiento, y sobre la dificultad de representar tales eventos cartográficamente con las fuentes disponibles.","","","Kaiama L. Glover","@inthewhirld","2020","","8","caridischo_item","visualizations","/img/derivatives/simple/viz2008/thumbnail.jpg","/img/derivatives/simple/viz2008/fullwidth.jpg"
"viz2009","Ramble Bahamas","","Divagar las Bahamas","Maps & Visualizations","Maps","a tour","un paseo","http://ramblebahamas.org","open","Active","en","Tracey Thompson, Jessica Dawson","The Oral & Public History Institute of the University of The Bahamas","&quot;From Dat Time&quot;: The Oral & Public History Institute of the University of The Bahamas invites you to explore Ramble Bahamas. The site can be explored by browsing individual stories, browsing Rambles, or through interacting with the map. Each place-based story includes a narrative which centers on an historically significant site or object.","&quot;From Dat Time&quot;: The Oral & Public History Institute of the University of The Bahamas invites you to explore Ramble Bahamas. The site can be explored by browsing individual stories, browsing Rambles, or through interacting with the map. Each place-based story includes a narrative which centers on an historically significant site or object.","&quot;From Dat Time&quot; (De aquellos tiempos): el Instituto de Historia Oral & Pública de la Universidad de las Bahamas lo invita a explorar &quot;Ramble Bahamas&quot; (Divagar las Bahamas). El sitio se puede navegar mediante por historias individuales, la divagación en si o mediante la interacción con el mapa. Cada historia esta basada en un lugar específico e incluye una narrativa que se centra en ese lugar o en un objeto históricamente significativo.","","","Kaiama L. Glover","@inthewhirld","2020","","9","caridischo_item","visualizations","/img/derivatives/simple/viz2009/thumbnail.jpg","/img/derivatives/simple/viz2009/fullwidth.jpg"
